project_id,project_name,sector_name,id,clause_number,clause_title,section_name,claim_type,risk_level,claim_strength,time_impact,cost_impact,file_name
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,423,,Agreement Summary,Notice Requirements,Notice Compliance,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,424,,months from the Commencement Date,Notice Requirements,Notice Compliance,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,425,,Document Priority,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,426,,This Agreement,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,427,,Appendix to Tender / Contract Data,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,428,,Particular Conditions,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,429,,General Conditions,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,430,,General Requirements,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,431,,Bill of Quantities,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,432,,Drawings,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,433,,"Soil report, permits matrix, and site layout",Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,434,,Commercial Data,Payment Entitlements,Payment / Certification,High,Strong,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,435,,% structured as 35% cash advance and 65% Employer-supplied steel/material,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,436,,% of the Contract Price.,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,437,,% of the Accepted Contract Amount unless waived by contract amendment.,Contractor Counterarguments,Counterargument / Exception,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,438,,% of monthly cash flow,Payment Entitlements,Payment / Certification,High,Strong,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,439,,days after Engineer receives the complete monthly statement,Payment Entitlements,Payment / Certification,Critical,Strong,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,440,,"% of outstanding works per week of delay or part thereof, capped at 10% of",Evidence Requirements,Evidence / Substantiation,Medium,Strong,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,441,,"Programme, Progress, and Delay Entitlement",EOT Entitlements,Extension of Time,High,Strong,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,442,,"Site, Materials, Quality, and HSE",Payment Entitlements,Payment / Certification,Medium,Strong,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,443,,Clause Intelligence Extract,Evidence Requirements,Evidence / Substantiation,Medium,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,444,,Mar-2026.,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,445,,month structural,Delay Damages Defense,Delay Damages Defense,Critical,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
LMD-Bridge,LMD Bridge & Road Interchange,Bridges,446,,% of the Contract Price.,Evidence Requirements,Evidence / Substantiation,High,Medium,Yes,Yes,Overall_Contract_clause_library.xlsx
